"What is the name of the letter 'Ξ'?","Xi","It makes the 'ks' sound (like box)."
"What is the name of the letter 'Ψ'?","Psi","It makes the 'ps' sound (like lips)."
"Which form of Sigma is used ONLY at the end of a word?","ς (Final Sigma)","It looks like an 's' or a curly tail."
"What sound does 'Ω' (Omega) make?","'o' (like pot)","It sounds exactly the same as Omicron."
"What sound does 'Χ' (Chi) make?","A soft throat friction (like Loch or HeLLo).","It is NOT a hard 'K' sound."
"How do you read 'Φ' (Phi)?","f (as in fish)","Like the 'ph' in phone."
"Translate 'Νερό'.","Water","Nero."
"Translate 'Ψωμί'.","Bread","Psomi."
"Translate 'Όνομα'.","Name","Onoma."
"Translate 'Ωρα'.","Time / Hour","Ora."
