"Accusative of 'O Petros'.","Τον Πέτρο.","No S."
"Accusative of 'O Kafes'.","Τον Καφέ.","No S."
"Accusative of 'H Maria'.","Την Μαρία.","Tin."
"Accusative of 'To Paidi'.","Το Παιδί.","No change."
"Translate 'I see Nick'.","Βλέπω τον Νίκο.","Object."
"Translate 'Nick sees me'.","Ο Νίκος με βλέπει.","Subject."
"Subject ending (Masc)?","-os/as/is.","With S."
"Object ending (Masc)?","-o/a/i.","Without S."
"Translate 'The doctor' (Object).","Τον γιατρό.","Ton."
"Translate 'The street' (Subject).","Ο δρόμος.","O."
