"What is the sound of the letter Alpha (Α/α)?","It makes the short 'a' sound, like in 'hat' [a]."
"What is the sound of the letter Beta (Β/β) in Modern Greek?","It makes the 'v' sound, like in 'vase' [v]."
"Does Beta (Β/β) ever make the 'b' sound in Modern Greek?","No, it is always 'v'. The 'b' sound is formed by the digraph 'μπ'."
"What is the sound of Gamma (Γ/γ) before an 'e' or 'i' sound?","It makes a soft 'y' sound, like in 'yes' [j]."
"What is the sound of Delta (Δ/δ)?","It makes the 'th' sound as in 'this' or 'then' [ð] (voiced)."
"What is the sound of Epsilon (Ε/ε)?","It makes the short 'e' sound, like in 'pet' [e]."
"What is the sound of Zeta (Ζ/ζ)?","It makes the 'z' sound, like in 'zoo' [z]."
"What is the sound of Eta (Η/η)?","It makes the 'i' sound, like in 'ski' [i]."
"What is the sound of Theta (Θ/θ)?","It makes the 'th' sound as in 'think' or 'thin' [θ] (unvoiced)."
"What is the sound of Iota (Ι/ι)?","It makes the 'i' sound, like in 'ski' [i]. It sounds exactly like Eta (Η)."
"How do you distinguish the pronunciation of Eta (Η) and Iota (Ι)?","You cannot distinguished them by ear; they sound exactly the same [i]."
"What is the sound of Kappa (Κ/κ)?","It makes the 'k' sound, like in 'key' [k]. It is generally unaspirated (no puff of air)."
"What is the sound of Lambda (Λ/λ)?","It makes the 'l' sound, like in 'light' [l]."
"What is the sound of Mu (Μ/μ)?","It makes the 'm' sound, like in 'mother' [m]."
"Which vowel letter comes after Epsilon in the alphabet order?","Zeta (Ζ) is a consonant, so the next vowel letter is Eta (Η)."
"How many letters in the classic Greek alphabet represent the 'i' sound directly?","Three letters: Eta (Η), Iota (Ι), and Upsilon (Υ)."
"Is the letter 'H' (Eta) pronounced like the English 'H' in 'House'?","No, it is a vowel pronounced 'i' (ee)."
"What defines a 'voiced' vs 'unvoiced' th sound (Delta vs Theta)?","Delta (Δ) makes your vocal cords vibrate (like 'then'). Theta (Θ) involves only air (like 'thin')."
"Write the lowercase version of the letter Delta (Δ).","δ"
"Write the lowercase version of the letter Theta (Θ).","θ"
