"In Modern Greek grammar, what must you look at to find the actual meaning of a pronoun like 'τον' (him)?",You must look at the context to find the word it refers to (its reference point).
What is the 1st person singular personal pronoun in the nominative case (I) in Modern Greek?,εγώ
What is the 2nd person singular personal pronoun in the nominative case (you) in Modern Greek?,εσύ
What are the 3rd person singular personal pronouns in the nominative case (he/she/it) in Modern Greek?,αυτός / αυτή / αυτό
What are the two forms of the 1st person singular personal pronoun in the accusative case (me) in Modern Greek?,με / εμένα
What are the two forms of the 2nd person singular personal pronoun in the accusative case (you) in Modern Greek?,σε / εσένα
What are the 3rd person singular personal pronouns in the accusative case (him/her/it) in Modern Greek?,τον / την / το (short forms) and αυτόν / αυτήν / αυτό (long forms).
What is the 1st person plural personal pronoun in the nominative case (we) in Modern Greek?,εμείς
What is the 2nd person plural personal pronoun in the nominative case (you) in Modern Greek?,εσείς
What are the 3rd person plural personal pronouns in the nominative case (they) in Modern Greek?,αυτοί /αυτές / αυτά
What are the two forms of the 1st person plural personal pronoun in the accusative case (us) in Modern Greek?,μας / εμάς
What are the two forms of the 2nd person plural personal pronoun in the accusative case (you) in Modern Greek?,σας / εσάς
What are the 3rd person plural personal pronouns in the accusative case (them) in Modern Greek?,τους / τις / τα (short forms) and αυτούς / αυτές / αυτά (long forms).
Which persons of Modern Greek personal pronouns are gender-free (cannot be assigned a gender)?,"The first (εγώ, εμείς) and second (εσύ, εσείς) persons are gender-free."
The 3rd person accusative personal pronouns τον/την/το and τους/τις/τα are identical to what other grammatical word forms?,They are identical to the definite article in the accusative case.
Where must personal pronouns in the accusative case be positioned in relation to the verb in Modern Greek?,They must be positioned right before the 'real' verb that carries grammatical information.
"In a negative sentence like 'Δεν σε θέλω' (I don’t want you), where is the pronoun 'σε' placed?",It is placed between the negation particle 'δεν' and the verb 'θέλω'.
"In Modern Greek, the demonstrative pronoun _____ is used for short distance ('this').",αυτός
"In Modern Greek, the demonstrative pronoun _____ is used for long distance ('that').",εκείνος
"When using a demonstrative pronoun like 'αυτός' as an adjective, what other word is obligatorily required?","The definite article is required (e.g., 'αυτόν τον αναπτήρα')."
Which Modern Greek interrogative pronoun is used for people?,ποιος (who)
Which Modern Greek interrogative pronoun is used for things?,τι (what)
Which Modern Greek interrogative pronoun is used for quantification?,πόσος (how much/how many)
What does the interrogative pronoun 'πόσος' mean in the singular?,It is equal to 'how much'.
What does the interrogative pronoun 'πόσος' mean in the plural?,It is equal to 'how many'.
"In Modern Greek questions involving a preposition, where is the preposition placed?","The preposition comes first, and the interrogative pronoun comes second."
What is the Modern Greek interrogative word for 'when'?,πότε
What is the Modern Greek interrogative word for 'where'?,πού
What is the Modern Greek interrogative word for 'how'?,πώς
What is the Modern Greek interrogative word for 'why'?,γιατί
The indefinite pronouns _____ and _____ refer to persons in Modern Greek.,κάποιος (someone) and κανένας (anyone)
The indefinite pronouns _____ and _____ refer to things in Modern Greek.,κάτι (something) and τίποτα (anything)
The indefinite pronoun 'κάποιος' (someone) and its related forms are typically used in what type of sentence?,They are used in affirmative sentences.
The indefinite pronoun 'κανένας' (anyone) and its related forms are typically used in what types of sentences?,They are used in negative and interrogative sentences.
"In a negative sentence, what is the meaning of the indefinite pronoun 'τίποτα'?","It means 'anything', not 'nothing', because the negation is already expressed by a particle like 'δεν'."
What is the Modern Greek indefinite word for 'somewhere'?,κάπου
What is the Modern Greek indefinite word for 'anywhere' (in a negative context)?,πουθενά
What is the Modern Greek indefinite word for 'some time'?,κάποτε
What is the Modern Greek indefinite word for 'ever' (or 'never' with negation)?,ποτέ
"For levels A1-A2, what is the single, all-purpose relative pronoun in Modern Greek corresponding to 'who, that, which, where'?",που
Is the relative pronoun 'που' an optional or obligatory part of a relative clause in Modern Greek?,It is an obligatory part of every relative clause.
"How does the form of the relative pronoun 'που' change based on the gender, number, or case of the noun it refers to?",It is invariable; its form does not change at all.
"When the relative pronoun 'που' is equivalent to 'where', what other relative adverb can it be replaced by?",It can be replaced by 'όπου'.
What orthographic feature distinguishes the interrogative 'πού' (where?) from the relative 'που' (who/which/that/where)?,"The interrogative 'πού' is written with an accent mark, while the relative 'που' is not."
"Unlike other pronouns, where are possessive pronouns (my, your) placed in relation to the noun they modify?",They are placed on the right side of (after) the noun.
"In Modern Greek, how is politeness typically expressed when addressing someone?","By using the 2nd person plural form (εσείς/σας), even when speaking to just one person."
"In Modern Greek culture, do speakers tend to maintain the polite form for a long time or shift to the familiar form quickly?",People tend to start with the polite way and shift quickly to the familiar way.
