Front,Back,Category
"Καλημέρα (Kalimera)","Good morning","Greetings"
"Ευχαριστώ (Efcharisto)","Thank you","Basics"
"Παρακαλώ (Parakalo)","Please / You're welcome","Basics"
"Συγνώμη (Signomi)","Sorry / Excuse me","Basics"
"Ναι (Ne)","Yes","Basics"
"Όχι (Ochi)","No","Basics"
"Δεν καταλαβαίνω (Den katalaveno)","I do not understand","Phrases"
"Μιλάτε Αγγλικά; (Milate Anglika?)","Do you speak English?","Phrases"
"Πού είναι η τουαλέτα; (Pou ine i toualeta?)","Where is the toilet?","Travel"
"Πόσο κάνει; (Poso kani?)","How much does it cost?","Shopping"
"Θέλω ένα νερό (Thelo ena nero)","I want water","Dining"
"Ο λογαριασμός, παρακαλώ (O logariasmos, parakalo)","The bill, please","Dining"
