"Capital of Alpha?","Α.","A1 Basic."
"Sound of 'Mp'?","B (Basket).","A1 Phonics."
"Conjugate 'Eimai' (I am).","Είμαι.","A1 Verbs."
"Plural of 'Biblio'.","Βιβλία.","A1 Neuter Plural."
"Translate 'I have'.","Έχω.","A1 Verbs."
"Translate 'We do'.","Κάνουμε.","A1 Verbs."
"Translate 'The good friend' (Masc).","Ο καλός φίλος.","A1 Adjective."
"Translate 'Red'.","Κόκκινο.","A1 Colors."
"Translate '10'.","Δέκα.","A1 Numbers."
"Translate 'Where?'.","Πού;","A1 Questions."
"Translate 'On the table'.","Στο τραπέζι.","A1 Prepositions."
"Translate 'My mother'.","Η μητέρα μου.","A1 Family."
"Translate 'I start' (Group A).","Αρχίζω.","A1 Verbs."
"Translate 'I speak' (Group B).","Μιλάω.","A1 Verbs."
"Translate '3:30'.","Τρεις και μισή.","A1 Time."
"Translate 'Monday'.","Δευτέρα.","A1 Days."
"Translate 'I see Peter'.","Βλέπω τον Πέτρο.","A1 Syntax (Acc)."
"Translate 'He sees me'.","Με βλέπει.","A1 Pronouns."
"Translate 'This house'.","Αυτό το σπίτι.","A1 Dem."
"Translate 'Thank you'.","Ευχαριστώ.","A1 Phrases."
